fold,train_samples,dev_samples,test_samples,X_train,X_dev,X_test
train_1962_1966__dev_1967_1967__test_1968_1968,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1967__dev_1968_1968__test_1969_1969,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1968__dev_1969_1969__test_1970_1970,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1969__dev_1970_1970__test_1971_1971,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1970__dev_1971_1971__test_1972_1972,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1971__dev_1972_1972__test_1973_1973,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1972__dev_1973_1973__test_1974_1974,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1973__dev_1974_1974__test_1975_1975,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1974__dev_1975_1975__test_1976_1976,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1975__dev_1976_1976__test_1977_1977,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1976__dev_1977_1977__test_1978_1978,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1977__dev_1978_1978__test_1979_1979,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1978__dev_1979_1979__test_1980_1980,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1979__dev_1980_1980__test_1981_1981,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1980__dev_1981_1981__test_1982_1982,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1981__dev_1982_1982__test_1983_1983,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1982__dev_1983_1983__test_1984_1984,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1983__dev_1984_1984__test_1985_1985,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1984__dev_1985_1985__test_1986_1986,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1985__dev_1986_1986__test_1987_1987,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1986__dev_1987_1987__test_1988_1988,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1987__dev_1988_1988__test_1989_1989,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1988__dev_1989_1989__test_1990_1990,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1989__dev_1990_1990__test_1991_1991,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1990__dev_1991_1991__test_1992_1992,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1991__dev_1992_1992__test_1993_1993,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1992__dev_1993_1993__test_1994_1994,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1993__dev_1994_1994__test_1995_1995,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1994__dev_1995_1995__test_1996_1996,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1995__dev_1996_1996__test_1997_1997,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1996__dev_1997_1997__test_1998_1998,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1997__dev_1998_1998__test_1999_1999,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1998__dev_1999_1999__test_2000_2000,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_1999__dev_2000_2000__test_2001_2001,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_2000__dev_2001_2001__test_2002_2002,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_2001__dev_2002_2002__test_2003_2003,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_2002__dev_2003_2003__test_2004_2004,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_2003__dev_2004_2004__test_2005_2005,0,0,0,"(0, 40, 8)","(0, 40, 8)","(0, 40, 8)"
train_1962_2004__dev_2005_2005__test_2006_2006,0,0,760,"(0, 40, 8)","(0, 40, 8)","(760, 40, 8)"
train_1962_2005__dev_2006_2006__test_2007_2007,0,760,1272,"(0, 40, 8)","(760, 40, 8)","(1272, 40, 8)"
train_1962_2006__dev_2007_2007__test_2008_2008,760,1272,1284,"(760, 40, 8)","(1272, 40, 8)","(1284, 40, 8)"
train_1962_2007__dev_2008_2008__test_2009_2009,2266,1284,1673,"(2266, 40, 8)","(1284, 40, 8)","(1673, 40, 8)"
train_1962_2008__dev_2009_2009__test_2010_2010,3784,1673,1704,"(3784, 40, 8)","(1673, 40, 8)","(1704, 40, 8)"
train_1962_2009__dev_2010_2010__test_2011_2011,5722,1704,1917,"(5722, 40, 8)","(1704, 40, 8)","(1917, 40, 8)"
train_1962_2010__dev_2011_2011__test_2012_2012,7738,1917,1899,"(7738, 40, 8)","(1917, 40, 8)","(1899, 40, 8)"
train_1962_2011__dev_2012_2012__test_2013_2013,9999,1899,1974,"(9999, 40, 8)","(1899, 40, 8)","(1974, 40, 8)"
train_1962_2012__dev_2013_2013__test_2014_2014,12249,1974,2130,"(12249, 40, 8)","(1974, 40, 8)","(2130, 40, 8)"
train_1962_2013__dev_2014_2014__test_2015_2015,14574,2130,2130,"(14574, 40, 8)","(2130, 40, 8)","(2130, 40, 8)"
train_1962_2014__dev_2015_2015__test_2016_2016,17094,2130,2130,"(17094, 40, 8)","(2130, 40, 8)","(2130, 40, 8)"
train_1962_2015__dev_2016_2016__test_2017_2017,19614,2130,2120,"(19614, 40, 8)","(2130, 40, 8)","(2120, 40, 8)"
train_1962_2016__dev_2017_2017__test_2018_2018,22134,2120,2120,"(22134, 40, 8)","(2120, 40, 8)","(2120, 40, 8)"
train_1962_2017__dev_2018_2018__test_2019_2019,24644,2120,2130,"(24644, 40, 8)","(2120, 40, 8)","(2130, 40, 8)"
train_1962_2018__dev_2019_2019__test_2020_2020,27154,2130,2140,"(27154, 40, 8)","(2130, 40, 8)","(2140, 40, 8)"
train_1962_2019__dev_2020_2020__test_2021_2021,29674,2140,2130,"(29674, 40, 8)","(2140, 40, 8)","(2130, 40, 8)"
train_1962_2020__dev_2021_2021__test_2022_2022,32204,2130,2120,"(32204, 40, 8)","(2130, 40, 8)","(2120, 40, 8)"
train_1962_2021__dev_2022_2022__test_2023_2023,34724,2120,2110,"(34724, 40, 8)","(2120, 40, 8)","(2110, 40, 8)"
train_1962_2022__dev_2023_2023__test_2024_2024,37234,2110,1740,"(37234, 40, 8)","(2110, 40, 8)","(1740, 40, 8)"
